"ind" "A" "A4D" "B" "B4D"
"1" 1 -2.1674104 0.23754777 -1.4426888 -0.29959342
"2" 1 -2.368409 0.3783266 -1.6785944 -0.2540982
"3" 1 -2.5782465 0.093338164 -1.6188318 -0.24837977
"4" 1 -2.6811568 0.38811973 -1.6132468 -0.22370086
"5" 1 -2.402991 0.46055175 -1.6321641 -0.24619046
"6" 1 -2.4944217 0.017774585 -1.6775131 -0.26062971
"7" 1 -2.4793082 0.19005776 -1.6469209 -0.25212147
"8" 1 -2.6427606 -0.039474847 -1.6103859 -0.26784036
"9" 1 -2.5399912 0.0068648322 -1.6275597 -0.27230204
"10" 1 -2.4927649 0.15653484 -1.6666122 -0.26983778
"11" 1 -2.5186122 0.39052252 -1.6405528 -0.24450685
"12" 1 -2.3704844 0.29967421 -1.6093408 -0.26693333
"13" 1 -1.7250618 0.35746965 -1.3307603 -0.33103397
"14" 1 -2.2266213 0.26210635 -1.5261151 -0.32200551
"15" 1 -1.6874746 0.58253287 -1.1469506 -0.29841724
"16" 1 -2.4317196 0.33988382 -1.5656801 -0.26743852
"17" 1 -2.2720974 0.0024687924 -1.45709 -0.30621132
"18" 1 -1.9813305 0.2945507 -1.3711038 -0.36085043
"19" 1 -2.0762176 0.19768664 -1.4625478 -0.31900352
"20" 1 -2.1088603 0.28226677 -1.398223 -0.3279254
"21" 1 -1.9592473 0.084805354 -1.4454629 -0.35680131
"22" 1 -1.8244396 0.13458241 -1.336382 -0.36649877
"23" 1 -1.9542585 0.15069751 -1.3709409 -0.33056602
"24" 1 -1.9224616 0.3614472 -1.374422 -0.346133
"25" 1 -1.8549936 0.08692898 -1.3823276 -0.36096714
"26" 1 -2.2129245 0.096941719 -1.4880537 -0.2847161
"27" 1 -2.1576488 0.29396675 -1.4507253 -0.34601167
"28" 1 -2.320146 0.12578921 -1.6852715 -0.28228596
"29" 1 -2.379093 -0.076330025 -1.6274585 -0.31198902
"30" 1 -2.3281527 0.36148283 -1.646092 -0.26481648
"31" 1 -2.5086439 0.1378032 -1.600128 -0.26699545
"32" 1 -2.298408 0.18646436 -1.6819606 -0.25707849
"33" 1 -2.3596749 -0.094806274 -1.6302934 -0.29738755
"34" 1 -2.5244451 0.24940358 -1.635942 -0.2602019
"35" 1 -2.0769408 0.35476734 -1.4714664 -0.32513159
"36" 1 -2.020339 0.22207476 -1.4147847 -0.34215407
"37" 1 -2.1497048 0.31016608 -1.5644159 -0.30825107
"38" 1 -1.9950678 0.2648491 -1.5116615 -0.33465654
"39" 1 -1.9501742 0.34256946 -1.385375 -0.3371381
"40" 2 -2.3711212 0.0086678954 -1.5280518 -0.29053241
"41" 2 -2.494842 -0.055057722 -1.5096509 -0.29153868
"42" 2 -2.2116094 0.15199891 -1.5450887 -0.3106823
"43" 2 -2.522872 -0.0096123571 -1.5139615 -0.31473043
"44" 2 -2.290952 0.036837031 -1.477605 -0.33497413
"45" 2 -2.5420807 0.35507454 -1.5543645 -0.25396055
"46" 2 -2.362825 0.019801595 -1.5082071 -0.30119333
"47" 2 -2.245136 0.15553685 -1.5487117 -0.30811523
"48" 2 -2.6685309 -0.29732163 -1.5052259 -0.31308925
"49" 2 -2.159477 0.13195352 -1.5401752 -0.32471546
"50" 2 -2.4113798 0.27178942 -1.6140462 -0.28818817
"51" 2 -2.3964267 0.1755648 -1.4930807 -0.27580328
"52" 2 -2.5061104 0.24019415 -1.5776661 -0.23617366
"53" 2 -2.4981233 -0.041332728 -1.5468647 -0.2794042
"54" 2 -2.6905389 0.26416747 -1.51271 -0.25969611
"55" 2 -2.4545048 0.060808451 -1.4744566 -0.26450991
"56" 2 -2.645176 -0.83382933 -1.7156184 -0.54370119
"57" 2 -1.7052701 0.097168063 -1.3458868 -0.49293523
"58" 2 -2.2009743 -0.023105469 -1.435885 -0.30311201
"59" 2 -2.5937105 0.08501557 -1.4597997 -0.27189943
"60" 2 -2.2432736 0.2588459 -1.5900903 -0.28968814
"61" 2 -2.4837625 -0.15920094 -1.4547794 -0.38584386
"62" 2 -2.2275174 0.14806489 -1.483208 -0.32226397
"63" 2 -2.6124512 -1.0262285 -1.8054776 -0.71876402
"64" 2 -2.3308426 0.48546311 -1.6336253 -0.27681343
"65" 2 -2.8669381 -0.30107462 -1.7009101 -0.36630397
"66" 2 -2.334837 -0.38709014 -1.5254292 -0.41661123
"67" 2 -2.6544535 -0.44190474 -1.7669924 -0.39377364
"68" 2 -2.4316004 0.15156042 -1.5438048 -0.28775694
"69" 2 -2.1808554 0.25672436 -1.6046864 -0.32202925
"70" 2 -2.4420813 -0.042087119 -1.5161674 -0.27629079
"71" 2 -2.4916092 0.1396183 -1.5163242 -0.2708838
"72" 2 -1.9105826 0.047565793 -1.3688367 -0.39654843
"73" 2 -1.6849896 0.064070918 -1.3121737 -0.38858276
"74" 2 -2.057936 0.079468281 -1.4615026 -0.29894064
"75" 2 -1.5948425 -0.27750566 -1.3886475 -0.49961546
"76" 2 -1.8829388 0.035134221 -1.523877 -0.43360845
"77" 2 -2.2780571 -0.16677068 -1.39248 -0.35681468
"78" 2 -1.8913953 0.012669606 -1.3309202 -0.397979
"79" 2 -2.7209904 -1.1754572 -1.7576876 -0.63656324
"80" 2 -2.8681947 -1.0455846 -1.7556633 -0.53092652
"81" 2 -2.8299484 -1.1732684 -1.9139258 -0.69441759
"82" 2 -2.9593428 -1.1404495 -1.6753493 -0.61258807
"83" 2 -3.0202545 -1.0249296 -1.9111925 -0.50095356
"84" 2 -2.6110309 -0.18439288 -1.5665459 -0.30291282
